id;reference-date;status;status-prev;status-after;counterparty-type;economic-sector-code;geographic-area;balance;limit-balance
246;2019-01-01;1;0;0;retail-type-2;5928;east-coast;21.02; -   
247;2019-01-01;1;0;0;retail-type-2;6078;north-est;15.28; -   
248;2019-01-01;1;0;0;retail-type-2;5928;mid-west;51.31; -   
249;2019-01-01;1;0;0;retail-type-2;5928;north-west;18.60; -   
250;2019-01-01;1;0;0;retail-type-2;5928;south;4.79; -   
251;2019-01-01;1;0;0;small-enterprise;6078;north-west; 4.696.37 ; 4.300.00 
252;2019-01-01;1;0;0;retail-type-2;5928;west-coast;26.93; -   
253;2019-01-01;1;0;0;retail-type-2;5928;east-coast;5.20; -   
254;2019-01-01;1;0;0;retail-type-2;5928;west-coast;25.83; -   
255;2019-01-01;1;0;0;retail-type-2;6078;west-coast;25.64; -   
256;2019-01-01;1;0;0;corporate-type-2;4228;south;67.22; -   
257;2019-01-01;1;0;0;retail-type-2;5928;north-est;13.88; -   
258;2019-01-01;1;0;0;retail-type-2;5928;south;5.00; -   
259;2019-01-01;1;0;0;retail-type-2;5928;north-est;28.32; -   
260;2019-01-01;2;0;0;retail-loan;5928;east-coast; 143.031.54 ; 137.870.17 
261;2019-01-01;1;0;0;retail-type-2;5928;north-west;32.48; -   
262;2019-01-01;1;0;0;retail-type-2;5928;east-coast;81.17; -   
263;2019-01-01;1;0;0;retail-type-2;5928;mid-west;18.31; -   
264;2019-01-01;1;0;0;retail-type-2;5928;north-est;49.87; -   
265;2019-01-01;1;0;0;retail-type-2;5928;north-est;16.43; -   
266;2019-01-01;1;0;0;retail-type-2;5928;north-est;31.00; -   
267;2019-01-01;1;0;0;retail-type-2;5928;north-west;66.78; -   
268;2019-01-01;1;0;0;retail-type-2;5928;south;46.08; -   
269;2019-01-01;1;0;0;corporate-type-2;4228;south;16.17; -   
270;2019-01-01;1;0;0;corporate-type-2;4228;mid-west;132.21; -   
271;2019-01-01;1;0;0;retail-type-2;5928;north-est;8.80; -   
272;2019-01-01;1;0;0;retail-type-2;5928;north-west;16.32; -   
273;2019-01-01;1;0;0;retail-type-2;5928;north-est;10.69; -   
274;2019-01-01;1;0;0;retail-type-2;7678;missing;52.42; -   
275;2019-01-01;1;0;0;retail-type-2;5928;east-coast;12.90; -   
276;2019-01-01;1;0;0;retail-type-2;5928;mid-west;78.31; -   
277;2019-01-01;1;0;0;corporate-type-2;6078;north-west;250.21; -   
278;2019-01-01;1;0;0;retail-type-2;5928;mid-west;19.56; -   
279;2019-01-01;1;0;0;small-enterprise;4838;south; 15.924.52 ; 15.854.10 
280;2019-01-01;1;0;0;retail-type-2;5928;north-west;24.14; -   
281;2019-01-01;1;0;0;corporate-type-2;4228;west-coast;114.74; -   
282;2019-01-01;1;0;0;retail-type-2;5928;west-coast;563.66; -   
283;2019-01-01;1;0;0;retail-type-2;5928;west-coast;27.74; -   
284;2019-01-01;1;0;0;retail-no-loan;5928;south; 1.137.00 ; 1.000.00 
285;2019-01-01;1;0;0;corporate-type-2;4228;north-est;110.18; -   
286;2019-01-01;1;0;0;retail-type-2;5928;west-coast;10.73; -   
287;2019-01-01;1;0;0;retail-type-2;5928;north-est;5.65; -   
288;2019-01-01;1;0;0;retail-type-2;5928;south;128.68; -   
289;2019-01-01;1;0;0;retail-no-loan;5928;north-west; 2.159.32 ; 2.000.00 
290;2019-01-01;1;0;0;corporate-type-2;4228;north-est;112.84; -   
291;2019-01-01;1;0;0;retail-type-2;5928;mid-west;9.75; -   
292;2019-01-01;1;0;0;retail-type-2;5928;mid-west;148.48; -   
293;2019-01-01;1;0;0;retail-type-2;5928;north-est;41.16; -   
294;2019-01-01;1;0;0;retail-type-2;5928;east-coast;18.17; -   
295;2019-01-01;1;0;0;retail-type-2;5928;north-west;18.79; -   
296;2019-01-01;1;0;0;retail-type-2;5928;south;35.86; -   
297;2019-01-01;1;0;0;retail-type-2;5928;north-west;23.73; -   
298;2019-01-01;1;0;0;retail-type-2;5928;east-coast;107.20; -   
299;2019-01-01;1;0;0;small-2;4228;east-coast; 176.490.23 ; 216.271.85 
300;2019-01-01;1;0;0;retail-type-2;5928;south;136.82; -   
301;2019-01-01;1;0;0;retail-type-2;5928;north-west;13.18; -   
302;2019-01-01;1;0;0;retail-type-2;5928;south;23.01; -   
303;2019-01-01;1;0;0;retail-type-2;5928;south;19.07; -   
304;2019-01-01;1;0;0;retail-type-2;5928;mid-west;19.28; -   
305;2019-01-01;1;0;0;retail-type-2;5928;west-coast;34.25; -   
306;2019-01-01;1;0;0;small-2;4838;mid-west; 5.561.09 ; 5.000.00 
307;2019-01-01;1;0;0;retail-type-2;5928;south;19.27; -   
308;2019-01-01;1;0;0;small-enterprise;6068;mid-west; 116.457.58 ; 116.428.57 
309;2019-01-01;1;0;0;small-3;4228;north-est; 182.036.96 ; 277.078.95 
310;2019-01-01;1;0;0;retail-type-2;5928;west-coast;10.23; -   
311;2019-01-01;1;0;0;retail-type-2;5928;west-coast;7.26; -   
312;2019-01-01;1;0;0;corporate-type-2;6078;mid-west;75.04; -   
313;2019-01-01;1;0;0;retail-type-2;5928;west-coast;36.44; -   
314;2019-01-01;1;0;0;corporate-type-2;4228;north-west;120.63; -   
315;2019-01-01;1;0;0;retail-type-2;5928;north-west;151.32; -   
316;2019-01-01;1;0;0;retail-type-2;5928;north-est;14.36; -   
317;2019-01-01;1;0;0;retail-type-2;5928;south;2.85; -   
318;2019-01-01;1;0;0;retail-type-2;5928;north-est;372.00; -   
319;2019-01-01;1;0;0;retail-type-2;5928;west-coast;34.64; -   
320;2019-01-01;1;0;0;retail-type-2;5928;south;16.21; -   
321;2019-01-01;1;0;0;retail-type-2;5928;north-est;57.79; -   
322;2019-01-01;1;0;0;retail-type-2;5928;north-est;24.57; -   
323;2019-01-01;1;0;0;retail-type-2;5928;east-coast;12.16; -   
324;2019-01-01;1;0;0;retail-type-2;5928;north-est;16.05; -   
325;2019-01-01;1;0;0;retail-type-2;5928;south;20.92; -   
326;2019-01-01;1;0;0;retail-type-2;5928;west-coast;560.65; -   
327;2019-01-01;1;0;0;retail-type-2;5928;north-est;7.10; -   
328;2019-01-01;1;0;0;retail-type-2;5928;south;13.84; -   
329;2019-01-01;1;0;0;corporate-type-2;4228;north-west;194.11; -   
330;2019-01-01;1;0;0;corporate-type-2;4228;mid-west;114.51; -   
